ID,Data Point,Column Name,Category,Sub Category,SF3 Variable
258,Female Industry1 Private for Profit Self Employed Incorporated Business,classworker_f_ind1_privateforprofit_selfemployedincorporatedbusiness,Employment,Class of Worker,P051038
259,Female Industry1 Private Not for Profit,classworker_f_ind1_privatenotforprofit,Employment,Class of Worker,P051039
260,Female Industry1 Local Government,classworker_f_ind1_localgovt,Employment,Class of Worker,P051040
261,Female Industry1 State Government,classworker_f_ind1_stategovt,Employment,Class of Worker,P051041
262,Female Industry1 Federal Government,classworker_f_ind1_federalgovt,Employment,Class of Worker,P051042
263,Female Industry1 Self Employed Non-Incorporated Business,classworker_f_ind1_selfemployednonincorporatedbusiness,Employment,Class of Worker,P051043
264,Female Industry1 Unpaid Family Worker,classworker_f_ind1_unpaidfamilyworker,Employment,Class of Worker,P051044
265,Female Industry2 Private for Profit,classworker_f_ind2_privateforprofit,Employment,Class of Worker,P051047
266,Female Industry2 Private for Profit Employee,classworker_f_ind2_privateforprofit_employee,Employment,Class of Worker,P051048
267,Female Industry2 Private for Profit Self Employed Incorporated Business,classworker_f_ind2_privateforprofit_selfemployedincorporatedbusiness,Employment,Class of Worker,P051049
268,Female Industry2 Private Not for Profit,classworker_f_ind2_privatenotforprofit,Employment,Class of Worker,P051050
269,Female Industry2 Local Government,classworker_f_ind2_localgovt,Employment,Class of Worker,P051051
270,Female Industry2 State Government,classworker_f_ind2_stategovt,Employment,Class of Worker,P051052
271,Female Industry2 Federal Government,classworker_f_ind2_federalgovt,Employment,Class of Worker,P051053
272,Female Industry2 Self Employed Non-Incorporated Business,classworker_f_ind2_selfemployednonincorporatedbusiness,Employment,Class of Worker,P051054
273,Female Industry2 Unpaid Family Worker,classworker_f_ind2_unpaidfamilyworker,Employment,Class of Worker,P051055
274,Female Industry3 Private for Profit,classworker_f_ind3_privateforprofit,Employment,Class of Worker,P051057
275,Female Industry3 Private for Profit Employee,classworker_f_ind3_privateforprofit_employee,Employment,Class of Worker,P051058
276,Female Industry3 Private for Profit Self Employed Incorporated Business,classworker_f_ind3_privateforprofit_selfemployedincorporatedbusiness,Employment,Class of Worker,P051059
277,Female Industry3 Private Not for Profit,classworker_f_ind3_privatenotforprofit,Employment,Class of Worker,P051060
278,Female Industry3 Local Government,classworker_f_ind3_localgovt,Employment,Class of Worker,P051061
279,Female Industry3 State Government,classworker_f_ind3_stategovt,Employment,Class of Worker,P051062
280,Female Industry3 Federal Government,classworker_f_ind3_federalgovt,Employment,Class of Worker,P051063
